Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 06/01  14:00:00,10095700.386725994,11971104.174351562,33189222.223306683,33189222.223306683,0.0 
 06/01  15:00:00,10577272.84311947,11971104.174351562,33317158.97298556,33317158.972985563,0.0 
 06/01  16:00:00,10343317.587371652,11971104.174351562,33643501.11633147,33643501.11633149,0.0 
 06/01  17:00:00,6550945.13947852,5985552.087175781,21416559.43350774,21416559.433507734,0.0 
 06/01  18:00:00,5173633.837760965,2394220.834870312,15514061.923931569,15514061.923931573,0.0 
 06/01  19:00:00,5298397.224606365,2394220.834870312,9748218.059538953,9748218.059538952,0.0 
 06/01  20:00:00,4036874.0758905645,2394220.834870312,10128294.910823154,10128294.910823152,0.0 
 06/01  21:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 06/01  22:00:00,2901503.2420463429,2394220.834870312,10634524.076916654,10634524.076916654,0.0 
 06/01  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 06/01  24:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 06/02  01:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 06/02  02:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 06/02  03:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 06/02  04:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 06/02  05:00:00,3735673.540023218,5108777.048454104,11985288.588477321,11985288.588477321,0.0 
 06/02  06:00:00,2901503.2420463429,5985552.087175781,17408047.032688664,17408047.032688664,0.0 
 06/02  07:00:00,5100474.003557915,5985552.087175781,20146005.202871987,20146005.20287198,0.0 
 06/02  08:00:00,10278655.620932952,11971104.174351562,30213366.207582155,30213366.207582166,0.0 
 06/02  09:00:00,9929562.13063773,11971104.174351562,30111273.172949874,30111273.172949874,0.0 
 06/02  10:00:00,9819106.339880445,11971104.174351562,30338937.11922694,30338937.11922694,0.0 
 06/02  11:00:00,10149398.576319598,11971104.174351562,31053658.84891045,31053658.84891045,0.0 
 06/02  12:00:00,8452996.411110767,11252837.923890466,28629533.535687958,28629533.535687958,0.0 
 06/02  13:00:00,9445149.134944138,11971104.174351562,32089937.53026978,32089937.53026978,0.0 
 06/02  14:00:00,9917476.554742434,11971104.174351562,32911295.658349877,32911295.65834988,0.0 
 06/02  15:00:00,9510485.73440256,11971104.174351562,32850135.269009845,32850135.269009849,0.0 
 06/02  16:00:00,9376839.410454942,11971104.174351562,33175313.568905828,33175313.568905839,0.0 
 06/02  17:00:00,6404520.262576821,5985552.087175781,21430415.62258813,21430415.62258813,0.0 
 06/02  18:00:00,4523016.394917707,2394220.834870312,14863444.481088315,14863444.481088315,0.0 
 06/02  19:00:00,5180368.864226193,2394220.834870312,9630189.699158783,9630189.699158779,0.0 
 06/02  20:00:00,4036874.0758905645,2394220.834870312,10128294.910823154,10128294.910823152,0.0 
 06/02  21:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 06/02  22:00:00,2901503.2420463429,2394220.834870312,10634524.076916654,10634524.076916654,0.0 
 06/02  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 06/02  24:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 06/03  01:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 06/03  02:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 06/03  03:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
