Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/06  20:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 04/06  21:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 04/06  22:00:00,2901503.2420463429,2394220.834870312,10634524.076916654,10634524.076916654,0.0 
 04/06  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/06  24:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/07  01:00:00,2923570.5965399087,5108777.048454104,12708423.644994012,12708423.644994012,0.0 
 04/07  02:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 04/07  03:00:00,2923570.5965399087,5108777.048454104,13008423.644994012,13008423.64499401,0.0 
 04/07  04:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 04/07  05:00:00,3735673.540023218,5108777.048454104,13970526.588477325,13970526.588477325,0.0 
 04/07  06:00:00,2901503.2420463429,5985552.087175781,29177140.616406725,29177140.616406729,1331115.3801158069 
 04/07  07:00:00,5286758.97269188,5985552.087175781,30686148.920196907,30686148.920196907,0.0 
 04/07  08:00:00,10748752.263755523,11971104.174351562,32374714.48423803,32374714.48423802,0.0 
 04/07  09:00:00,10195069.15001901,11971104.174351562,30163549.592074936,30163549.59207493,0.0 
 04/07  10:00:00,10380960.545176868,11971104.174351562,30643146.06999985,30643146.069999845,0.0 
 04/07  11:00:00,10250391.562630088,11971104.174351562,30786757.493657106,30786757.493657106,0.0 
 04/07  12:00:00,9221793.605889256,11252837.923890466,29036351.667685667,29036351.667685667,0.0 
 04/07  13:00:00,10429270.907005182,11971104.174351562,33205730.139972725,33205730.139972718,0.0 
 04/07  14:00:00,10411855.883268435,11971104.174351562,34621062.91730139,34621062.91730138,0.0 
 04/07  15:00:00,10268594.770868106,11971104.174351562,35759606.63913307,35759606.639133069,0.0 
 04/07  16:00:00,10327452.494466482,11971104.174351562,36722546.364454369,36722546.364454369,0.0 
 04/07  17:00:00,7134146.229029018,5985552.087175781,25322594.013084294,25322594.013084297,0.0 
 04/07  18:00:00,5010732.980644913,2394220.834870312,15323224.850430768,15323224.850430768,0.0 
 04/07  19:00:00,5275120.720777392,2394220.834870312,10272141.555709983,10272141.555709979,0.0 
 04/07  20:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 04/07  21:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 04/07  22:00:00,2901503.2420463429,2394220.834870312,10634524.076916654,10634524.076916654,0.0 
 04/07  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/07  24:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/08  01:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/08  02:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/08  03:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/08  04:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/08  05:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/08  06:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/08  07:00:00,2911372.810563925,2043510.819381642,8104883.629945565,8104883.629945565,0.0 
 04/08  08:00:00,2799434.518857312,2043510.819381642,6898545.338238954,6898545.338238953,0.0 
 04/08  09:00:00,2720118.96201602,2043510.819381642,6819229.78139766,6819229.78139766,0.0 
 04/08  10:00:00,2695515.2252677159,2043510.819381642,6794626.044649357,6794626.044649357,0.0 
 04/08  11:00:00,2639467.4305714846,2043510.819381642,6738578.249953125,6738578.249953125,0.0 
 04/08  12:00:00,2671429.836719875,2043510.819381642,6770540.656101516,6770540.6561015159,0.0 
 04/08  13:00:00,2685528.7152156087,2043510.819381642,6784639.53459725,6784639.53459725,0.0 
 04/08  14:00:00,2667960.8577068,2043510.819381642,6767071.67708844,6767071.67708844,0.0 
 04/08  15:00:00,2590162.3202483488,2043510.819381642,6689273.139629989,6689273.139629989,0.0 
 04/08  16:00:00,2671354.347112644,2043510.819381642,6770465.166494284,6770465.166494284,0.0 
 04/08  17:00:00,2711470.852593259,2043510.819381642,6810581.6719749,6810581.6719749,0.0 
 04/08  18:00:00,2782138.3000117905,2043510.819381642,6881249.119393432,6881249.119393431,0.0 
 04/08  19:00:00,2905596.825304259,2043510.819381642,7551907.644685901,7551907.6446859,0.0 
 04/08  20:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/08  21:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/08  22:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/08  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/08  24:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/09  01:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/09  02:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
